student	state	district_num	formatted_dist_num	abbrev	district	candidate	party	website	twitter handle	incumbent	age	gender	marital_status	white_non_hispanic	hispanic	black	partisian_lean_pvi	opposed	pct_urban	income	region
patrick	Texas	2	02	TX	TX02	Dan Crenshaw 	Republican	https://crenshawforcongress.com	DanCrenshawTX	No	NA	M	Married	T	F	F	R+11	Yes	98.11	72,711	S
patrick	Texas	2	02	TX	TX02	Scott Cubbler 	Independent	https://www.cubblerforcongress.com	ScottCubbler	No	NA	M	Married	T	F	F	R+11	Yes	98.11	72,711	S
patrick	Texas	2	02	TX	TX02	Patrick Gunnels 	Libertarian	NA	NA	No	NA	M	NA	F	F	F	R+11	Yes	98.11	72,711	S
patrick	Texas	2	02	TX	TX02	Todd Litton 	Democratic	https://toddlitton.com	toddlitton	No	NA	M	Married	T	F	F	R+11	Yes	98.11	72,711	S
patrick	Texas	5	05	TX	TX05	Lance Gooden 	Republican	http://lancegooden.com	RepLanceGooden	No	35	M	Married	T	F	F	R+16	Yes	67.16	50,536	S
patrick	Texas	5	05	TX	TX05	Dan Wood 	Democratic	https://www.votedanwood.com	DanWood2018	No	62	M	Married	T	F	F	R+16	Yes	67.16	50,536	S
patrick	Texas	10	10	TX	TX10	Michael McCaul 	Republican	https://www.michaelmccaul.com	RepMcCaul	Yes	56	M	Married	T	F	F	R+9	Yes	77.46	73,476	S
patrick	Texas	10	10	TX	TX10	Mike Ryan 	Libertarian	http://mikeryantexas.nationbuilder.com	NA	No	NA	M	NA	F	F	F	R+9	Yes	77.46	73,476	S
patrick	Texas	10	10	TX	TX10	Mike Siegel 	Democratic	https://www.siegelfortexas.org	SiegelForTexas	No	NA	M	Married	T	F	F	R+9	Yes	77.46	73,476	S
patrick	Texas	18	18	TX	TX18	Sheila Jackson Lee 	Democratic	http://www.sheilajacksonlee18.com	JacksonLeeTX18	Yes	68	F	Married	F	F	T	D+27	Yes	99.94	42,662	S
patrick	Texas	18	18	TX	TX18	Ava Pate 	Republican	http://www.avapateforuscongress.com	avaforcongress	No	52	F	Married	F	T	F	D+27	Yes	99.94	42,662	S
patrick	Texas	18	18	TX	TX18	Luke Spencer 	Libertarian	https://lukespencerforcongress.com	SpencerCongress	No	NA	M	NA	T	F	F	D+27	Yes	99.94	42,662	S
patrick	Texas	27	27	TX	TX27	Michael Cloud 	Republican	https://www.cloudforcongress.com	MichaelJCloud	Yes	43	M	Married	T	F	F	R+13	Yes	74.99	53,047	S
patrick	Texas	27	27	TX	TX27	James Duerr 	Independent	http://duerrforcongress.com	Duerr4Congress	No	NA	M	NA	T	F	F	R+13	Yes	74.99	53,047	S
patrick	Texas	27	27	TX	TX27	Eric Holguin 	Democratic	https://www.ericforus.com	EricHolguinTX	No	NA	M	Single	F	T	F	R+13	Yes	74.99	53,047	S
patrick	Texas	27	27	TX	TX27	Daniel Tinus 	Libertarian	https://dtinusforcongress.com	tinus4congress	No	NA	M	Married	T	F	F	R+13	Yes	74.99	53,047	S
patrick	Washington	5	05	WA	WA05	Lisa Brown 	Democratic	https://lisabrownforcongress.com	lisa4congress	No	61	F	Married	T	F	F	R+8	Yes	1.5	35,720	W
patrick	Washington	5	05	WA	WA05	Cathy McMorris Rodgers	Republican	http://www.cathyforcongress.com	TeamCMR	Yes	49	F	Married	T	F	F	R+8	Yes	1.5	35,720	W
thomas	Alabama	7	07	AL	AL07	Terri Sewell 	Democratic	https://sewell.house.gov/	RepTerriSewell	Yes	53	F	NA	F	F	T	D+20	No	72.16	34664	S
thomas	California	26	26	CA	CA26	Julia Brownley 	Democratic	https://juliabrownley.house.gov/	JuliaBrownley26	Yes	66	F	NA	T	F	F	D+7	Yes		72804	W
thomas	California	26	26	CA	CA26	Antonio Sabàto Jr 	Republican	http://voteantonio.com/	AntonioSabatoJr	No	46	M	NA	F	F	F	D+7	Yes		72804	W
thomas	California	33	33	CA	CA33	Ted Lieu 	Democratic	https://lieu.house.gov/	tedlieu	Yes	49	M	Married	F	F	F	D+16	Yes		61273	W
thomas	California	33	33	CA	CA33	Kenneth Wright 	Republican	https://drwright4congress.com/	drwright4congr1	No		M	NA	T	F	F	D+16	Yes		61273	W
thomas	California	39	39	CA	CA39	Gil Cisneros 	Democratic	https://cisnerosforcongress.com/	GilCisnerosCA	No	48	M	Married	F	F	F	Even	Yes		76748	W
thomas	California	39	39	CA	CA39	Young Kim 	Republican	https://www.kimforcongress2018.com/	YoungKimCD39	No	55	F	Married	F	F	F	Even	Yes		76748	W
thomas	California	48	48	CA	CA48	Harley Rouda 	Democratic	https://www.harleyforcongress.com/	HarleyRouda	No		M	Married	T	F	F	R+4	Yes		76077	W
thomas	California	48	48	CA	CA48	Dana Rohrabacher 	Republican	http://www.rohrabacher.com/	DanaRohrabacher	Yes	71	M	Married	T	F	F	R+4	Yes		76077	W
thomas	California	51	51	CA	CA51	Juan Hidalgo Jr 	Republican	http://hidalgoforcongress.com/	HidalgoFor51st	No	52	M	Married	F	T	F	D+22	Yes		41477	W
thomas	California	51	51	CA	CA51	Juan Vargas 	Democratic	https://vargas.house.gov/	RepJuanVargas	Yes	57	M	Married	F	T	F	D+22	Yes		41477	W
thomas	Colorado	3	03	CO	CO03	Mary Malarsie 	Independent	https://www.marymindependent.com/		No		F	NA	T	F	F	R+6	Yes	64.75	47012	W
thomas	Colorado	3	03	CO	CO03	Diane Mitsch Bush 	Democratic	https://dianeforcolorado.com/	RepDMB	No	68	F	Married	T	F	F	R+6	Yes	64.75	47012	W
thomas	Colorado	3	03	CO	CO03	Scott Tipton 	Republican	https://tipton.house.gov/	RepTipton	Yes	61	M	Married	T	F	F	R+6	Yes	64.75	47012	W
thomas	Colorado	4	04	CO	CO04	Ken Buck 	Republican	https://buck.house.gov/	RepKenBuck	Yes	59	M	Married	T	F	F	R+13	Yes	72.9	57836	W
thomas	Colorado	4	04	CO	CO04	Karen McCormick 	Democratic	https://www.mccormickforcongress.org/	McCormickForCO	No		F	Married	T	F	F	R+13	Yes	72.9	57836	W
thomas	Colorado	6	06	CO	CO06	Mike Coffman 	Republican	https://coffman.house.gov/	RepMikeCoffman	Yes	63	M	NA	T	F	F	D+2	Yes	98.51		W
thomas	Colorado	6	06	CO	CO06	Jason Crow 	Democratic	https://jasoncrowforcongress.com/	JasonCrowCO6	No		M	Married	T	F	F	D+2	Yes	98.51		W
thomas	Florida	14	14	FL	FL14	Kathy Castor 	Democratic	https://castor.house.gov/	USRepKCastor	Yes	52	F	Married	T	F	F	D+7	No	99.3		S
thomas	Georgia	7	07	GA	GA07	Carolyn Bourdeaux 	Democratic	https://www.carolyn4congress.com/	Carolyn4GA7	No		F	Married	T	F	F	R+9	Yes	99.55		S
thomas	Georgia	7	07	GA	GA07	Rob Woodall 	Republican	https://woodall.house.gov/	RepRobWoodall	Yes	48	M	NA	T	F	F	R+9	Yes	99.55		S
thomas	Illinois	7	07	IL	IL07	Craig Cameron 	Republican	https://cameron4congress.com/	CraigCameron07	No		M	NA	F	F	T	D+38	Yes	100	44535	MW
thomas	Illinois	7	07	IL	IL07	Danny Davis 	Democratic	https://davis.house.gov/	RepDannyDavis	Yes	77	M	Married	F	F	T	D+38	Yes	100	44535	MW
thomas	Illinois	13	13	IL	IL13	Rodney Davis 	Republican	https://rodneydavis.house.gov/	RodneyDavis	Yes	48	M	Married	T	F	F	R+3	Yes	78.9	44915	MW
thomas	Illinois	13	13	IL	IL13	Betsy Dirksen Londrigan 	Democratic	https://www.betsydirksenlondrigan.com/	BetsyforIL	No		F	Married	T	F	F	R+3	Yes	78.9	44915	MW
thomas	Indiana	5	05	IN	IN05	Susan Brooks 	Republican	https://susanwbrooks.house.gov/	SusanWBrooks	Yes	58	F	Married	T	F	F	R+9	Yes	74.53	58,115	MW
thomas	Indiana	5	05	IN	IN05	Dee Thornton 	Democratic	http://www.deethorntonforcongress.com/	VoteThornton	No		F	Married	F	F	T	R+9	Yes	74.53	58,115	MW
thomas	Michigan	7	07	MI	MI07	Gretchen Driskell 	Democratic	https://votedriskell.com/	gdriskell	No	59	F	Married	T	F	F	R+7	Yes	79.9		MW
thomas	Michigan	7	07	MI	MI07	Tim Walberg 	Republican	https://walberg.house.gov/	RepWalberg	Yes	67	M	Married	T	F	F	R+7	Yes	79.9		MW
thomas	Nevada	4	04	NV	NV04	Cresent Hardy 	Republican	https://www.cresenthardy.com/	CresentHardy	No	61	M	Married	T	F	F	D+3	Yes		50134	W
thomas	Nevada	4	04	NV	NV04	Steven Horsford 	Democratic	https://www.stevenhorsford.com/	StevenHorsford	No	45	M	Married	F	F	T	D+3	Yes		50134	W
